Login,Number,IssueNumber,IssueCount,IssueLabels,Events,FirstTime,Pulls,Commits,Additions,Deletions,ChangedFiles,Comments,ReviewComments
loveincloud,1314080903215,58,1,Done Net2,14,2016-04-20T12:14:25Z,5,7,451,54,8,0,0
invalid-email-address,1314080901116,0,0,,0,,0,0,0,0,0,0,0
woyizhidouz,1314080903207,85,1,Book Done Net2,14,2016-04-27T05:01:16Z,5,12,2456,0,18,1,0
lanweiye,1314080901116,209,1,Done Com1,5,2016-04-14T08:04:11Z,3,3,13,0,1,1,0
lizicong,1314080903116,544,1,Done Net1,6,2016-04-29T04:43:21Z,2,4,555,2,11,0,0
SSsugar,1314080903130,373,1,Done Net1,13,2016-04-28T10:27:19Z,5,7,539,13,16,3,0
qingtian1993,1314080901225,43,1,Book Good Done Com2,16,2016-04-13T01:32:14Z,11,8,412,16,18,3,0
benguadesenlin,1314080903206,83,1,Book Done Net2,11,2016-04-23T06:48:25Z,4,7,857,9,20,0,0
Hackergeek,1314080903223,258,1,Done Net2,0,,4,6,2304,0,36,5,0
LWJ00,1314080903114,142,1,Good Done Net1,11,2016-04-27T03:00:45Z,5,6,474,28,22,4,0
renrendashai,1314080901109,64,1,Done Com1,12,2016-04-27T09:17:11Z,7,7,992,59,36,1,0
1040003585,1314080903133,5,1,Done Net1,20,2016-04-20T01:07:48Z,8,22,581,160,22,11,0
liangchuxian,null,983,1,Done Net2,2,2016-06-16T02:18:24Z,1,1,762,0,10,1,0
fangrenye,1314080901129,62,1,Done Com1,12,2016-04-13T09:14:47Z,9,7,307,3,17,1,0
linjiejie,1314080903123,680,1,Done Net1,2,2016-05-10T13:49:43Z,5,6,183,12,5,3,0
xunzai,1314080903248,6,1,Done Net2,5,2016-05-06T16:51:45Z,7,4,464,69,23,5,0
zenghuang,null,170,1,Good Done Com1,5,2016-04-13T09:44:46Z,4,1,1045,0,22,0,0
hh-froal,1314080901112,153,1,Done Com1,10,2016-04-13T09:16:49Z,5,6,1079,17,8,3,0
wxuanguang,1314080901135,165,1,Done Com1,8,2016-04-13T09:32:19Z,5,5,534,52,10,2,0
15767978771hxc,1314080901113,155,1,,0,,6,5,1244,16,38,5,0
Leo-ZLC,1314080903142,139,1,Book Done Net1,20,2016-04-25T01:44:06Z,9,4,398,1,8,1,0
YLiuLiu,1314080901239,76,1,Done Com2,14,2016-04-14T08:03:21Z,8,10,423,98,14,2,0
BingoTrai,1314080901102,26,1,Done Com1,4,2016-04-14T16:22:07Z,3,1,534,0,5,0,0
mandatou,1314080903228,255,1,Done Net2,9,2016-04-23T06:09:56Z,9,15,844,36,54,3,0
czgshy,1314080901108,163,1,Done Com1,11,2016-04-13T08:26:09Z,4,6,369,123,19,1,0
jinhaoxu,1314080901138,154,1,,11,2016-04-13T09:12:07Z,6,5,212,21,6,2,0
linxingwei,1314080901224,107,1,Com2,2,2016-06-19T14:47:36Z,1,1,194,0,3,0,0
lxdlxdlxd,1314080903232,7,1,Book Done Net2,19,2016-04-20T01:49:21Z,8,15,1042,601,103,2,0
lgkk,1314080901119,158,1,Done Com1,10,2016-04-20T07:14:06Z,14,3,459,46,15,0,0
TPGorTJK,1314080901132,204,1,Done Com1,4,2016-04-28T07:04:07Z,3,1,13,0,1,0,0
lohowei,null,148,1,C Net2,2,2016-06-13T18:23:11Z,1,0,0,0,0,0,0
nihenlundun,1314080903225,80,1,C Done Net2,11,2016-04-27T12:20:45Z,4,10,573,32,13,0,0
HanksenYe,1314080903245,14,1,E Done Net2,11,2016-04-21T09:48:35Z,4,9,698,87,15,0,0
sakcmhhjjkk5,1314080901136,162,1,Done Com1,8,2016-04-20T07:54:05Z,4,4,210,0,6,1,0
zjhua,1314080901144,169,1,Done Com1,15,2016-04-14T10:50:18Z,6,10,1446,178,34,3,0
xuwenlang,1314080901139,60,1,Done Com1,7,2016-04-13T08:16:58Z,5,6,1605,211,67,1,0
hzukondy,1314080901128,67,1,Done Com1,10,2016-04-15T14:05:11Z,5,5,430,54,11,2,0
ww2315033,1314080903134,144,1,C Done Net1,10,2016-04-26T01:07:52Z,5,5,2643,17,39,1,0
linyuehuan24,1314080901225,723,2,C Done Net1,1,2016-06-08T04:31:28Z,4,4,807,14,10,1,0
wszjx,1314080901242,106,1,,0,,1,2,0,0,1,1,0
besttip,1314080903107,598,1,Done Net1,3,2016-05-04T06:57:25Z,2,5,221,0,6,0,0
xiaoqiannba,1314080901235,0,0,,0,,10,8,286,63,6,2,0
hzmrwu,1314080903240,115,1,Done Net2,4,2016-05-04T07:00:31Z,2,5,181,0,5,0,0
huangqiuxiong,null,891,1,C Done Net2,11,2016-06-14T14:31:58Z,5,16,864,0,22,0,0
sjy503201878,1314080901130,156,1,Done Com1,10,2016-04-13T08:56:38Z,5,5,638,79,18,2,0
thegoodboy1234,1314080901118,57,1,Book Done Com1,13,2016-04-13T08:44:51Z,5,6,936,79,21,3,0
demodemodemo241534,1314080903207,0,0,,0,,0,0,0,0,0,0,0
tanlanz,1314080903146,61,1,Book Done Net1,13,2016-04-13T03:21:10Z,5,10,122,14,9,1,0
alphaabc,1313071001221,146,1,Book Done Net1,4,2016-04-28T14:14:39Z,2,2,313,0,12,0,0
handsome-handsome-handsome-boy,1314080901205,199,1,Com2,4,2016-04-14T07:36:09Z,3,2,31,0,4,0,0
liaohuili,1314080903117,239,1,Book Net1,19,2016-04-27T01:36:55Z,8,12,1937,304,37,2,0
mumuLOVEanni,1314080901147,160,1,Done Com1,9,2016-04-20T08:02:30Z,5,7,705,0,20,0,0
wcx2635391125,1314080903132,349,1,Book E Done Net1,7,2016-04-27T15:01:41Z,2,5,721,0,17,0,0
Yuntun21,1314080903221,126,1,Done Net2,14,2016-04-27T11:52:44Z,5,16,2177,0,34,2,0
11hks11,1314080901214,124,1,Com2,2,2016-06-20T12:13:08Z,2,5,15,0,1,1,0
chenweijia104,1314080901110,540,1,Done Net1,6,2016-04-28T10:31:43Z,4,4,269,0,10,0,0
fanrenaren,1314080901231,100,1,Com2,6,2016-04-19T07:05:31Z,2,4,226,0,4,0,0
helloSingleDog,1314080903219,9,1,Book Done Net2,12,2016-04-20T12:37:33Z,7,3,624,10,12,0,0
unknown,1314080903117,0,0,,0,,0,0,0,0,0,0,0
Qiucat,null,105,1,Com2,0,,0,0,0,0,0,0,0
LXQuan,1314080903222,251,1,Done Net2,10,2016-04-23T07:46:36Z,4,7,268,0,8,1,0
ghost,null,141,1,Done Net1,14,2016-04-27T01:14:37Z,3,0,0,0,0,0,0
findsomeoneyys,1314080901141,208,1,Book Com1,9,2016-04-14T15:25:52Z,5,5,1042,41,16,1,0
zhuoxw,1314080903148,293,1,Book Done Net1,7,2016-04-27T16:49:06Z,3,4,364,14,15,2,0
1019940946,1314080903115,297,1,Done Net1,14,2016-05-11T00:28:08Z,4,14,937,0,18,0,0
ZhengQZ123,1314080903247,129,1,Book Done Net2,14,2016-04-20T01:39:50Z,8,14,185,8,9,3,0
dididjb,1314080903239,134,1,Good Done Net2,14,2016-04-23T06:28:53Z,5,7,266,2,7,2,0
Leimoon,null,0,0,,0,,1,0,0,0,0,0,0
HeyLK,1314080901123,59,1,Good Done Com1,11,2016-04-13T09:04:29Z,5,9,557,35,20,1,0
Calort,1314080901115,173,1,Done Com1,18,2016-04-15T14:30:17Z,10,7,666,50,30,1,0
i. sshe,1314080903212,0,0,,0,,0,0,0,0,0,0,0
finalnbn,1314080901134,0,0,,0,,0,0,0,0,0,0,0
plwslaven,1314080901142,174,1,Done Com1,13,2016-04-27T06:52:08Z,6,8,772,93,23,2,0
chensongkui,1314080901107,171,1,Done Com1,7,2016-04-13T16:43:06Z,5,7,393,90,16,1,0
jayhoo95,null,207,1,Com2,0,,2,0,0,0,0,0,0
zhangxiaofan100,1314080903143,24,1,Done Net1,8,2016-04-28T16:14:49Z,7,3,593,1,11,1,0
