Login,Number,IssueNumber,IssueCount,IssueLabels,Events,FirstTime,Pulls,Commits,Additions,Deletions,ChangedFiles,Comments,ReviewComments
LIMITAYANG,1414080902220,80,1,,0,,4,5,10167,2,23,0,0
invalid-email-address,1414080902104,0,0,,0,,0,0,0,0,0,0,0
heymanheymanheyman,1414080902204,95,1,,9,2016-10-16T16:29:32Z,8,9,7789,91,41,3,0
CaiRencai,1414080902228,93,1,,0,,9,17,566,34,16,1,0
qq1032246642,1414080902229,232,1,,0,,7,11,298,76,10,2,0
cyk0505,1414080902112,76,1,,0,,6,9,470,10,13,0,0
zhengde,1414080902124,66,1,,10,2016-10-22T15:05:27Z,6,6,721,12,18,2,0
Mr-bingo,1414080902108,63,1,,5,2016-10-18T14:50:35Z,7,13,3569,283,39,3,0
Zhengzh00,1414080902210,240,1,,0,,14,16,1844,85,32,0,0
wzw773828204,1414080902109,87,2,,0,,7,1,69,0,4,0,0
nibabadebaba,null,544,1,,0,,3,1,63,0,2,0,0
Darkreunion,1414080902239,229,1,,0,,5,6,658,0,15,1,0
choisound,1414080902226,0,0,,0,,7,9,819,98,32,5,0
OldFatPHP,1414080902237,0,0,,0,,0,0,0,0,0,0,0
huangzejay,1414080902206,0,0,,0,,3,7,680,2,13,0,0
zengsn,null,7,8,实验 实验 实验,28,2016-11-07T02:40:47Z,0,0,0,0,0,0,0
TheBestP,1414080902137,73,2,,0,,5,9,825,63,25,2,0
DarlieToothpaste,1414080902232,96,1,,0,,8,9,589,2,14,3,0
7thSunday,1414080902234,224,1,,0,,7,18,562,46,21,2,0
HCJ0HCJ,1414080902138,78,1,,6,2016-10-18T14:12:33Z,6,13,678,3,15,0,0
Chaojudge,1414080902117,152,1,,14,2016-10-20T05:42:00Z,8,14,12169,1150,40,2,0
yuhomx,1414080902140,101,1,,0,,6,7,1443,155,31,1,0
OctRstar,1414080902215,200,1,,0,,8,12,552,38,18,1,0
ChowWd,1414080902221,173,1,,0,,7,6,506,0,12,0,0
Huangjh14,1414080902218,74,1,,0,,2,2,122,0,4,0,0
gremm,1414080902109,75,1,,0,,3,6,256,0,7,0,0
141zhongyiChen,1414080902128,53,1,,0,,1,1,179,0,3,0,0
Ysunshine,1414080902233,179,1,,4,2016-10-19T15:26:59Z,8,8,868,183,16,0,0
CLT03,null,71,2,,0,,8,7,474,42,15,1,0
mpq1228,1406070302213,199,1,,0,,7,14,608,214,19,1,0
nihaomahenhaoba,1414080902216,397,1,,2,2016-11-20T09:40:07Z,4,7,396,1,10,0,0
pigever Pig,1414080902227,0,0,,0,,0,0,0,0,0,0,0
bestwayr,1414080902202,109,1,,20,2016-10-19T16:32:57Z,9,152,809,102,22,0,0
SlowSoulWen,1414080902237,94,1,,0,,10,14,10061,63,17,2,0
chenshun2016,1414080902214,307,1,,0,,5,6,329,0,10,1,0
ruizhuzhiling,1414080902114,86,1,,9,2016-10-27T05:03:11Z,16,28,1417,134,49,1,0
LincoXiaoQ,1414080902212,62,1,,6,2016-11-12T04:52:01Z,7,7,1265,123,32,3,0
fanslead,1414080902120,100,1,,3,2016-10-22T04:40:53Z,6,13,923,45,20,3,0
Linco_Dell,1414080902212,0,0,,0,,0,0,0,0,0,0,0
tangjianliang,1414080902111,65,1,,5,2016-11-07T02:32:18Z,9,24,624,0,15,1,0
hvvvvccc,1414080902103,68,1,,0,,10,7,739,135,19,2,0
hahamg,1414080902222,85,1,,0,,6,13,530,80,11,1,0
29liweiliang,1414080902129,60,1,,0,,6,7,595,200,20,0,0
zoukewen,1414080902104,84,2,,0,,6,8,575,0,14,1,0
liudao-yupeng,1413071001206,327,2,,0,,7,5,530,0,11,3,0
630440348,1414080902126,70,1,,10,2016-10-20T03:24:37Z,8,8,561,0,16,0,0
YellowYt,1414080902107,190,1,,0,,2,6,298,68,6,0,0
chenzw1,null,128,1,,0,,5,6,1101,9,28,1,0
